,X,State,Year,population
1,1,Antioquia,1998,5131232
2,2,Bolivar,1998,1752072
3,3,Boyaca,1998,1223691
4,4,Caldas,1998,955943
5,5,Casanare,1998,250927
6,6,Cundinamarca,1998,1994007
7,7,Meta,1998,663575
8,8,Norte de Santander,1998,1166395
9,9,Santander,1998,1877582
10,10,Valle del cauca,1998,3864822
11,11,Antioquia,1999,5210735
12,12,Bolivar,1999,1772692
13,13,Boyaca,1999,1229300
14,14,Caldas,1999,957670
15,15,Casanare,1999,257496
16,16,Cundinamarca,1999,2035449
17,17,Meta,1999,680490
18,18,Norte de Santander,1999,1178015
19,19,Santander,1999,1891810
20,20,Valle del cauca,1999,3907200
21,21,Antioquia,2000,5289912
22,22,Bolivar,2000,1792634
23,23,Boyaca,2000,1234550
24,24,Caldas,2000,959483
25,25,Casanare,2000,263956
26,26,Cundinamarca,2000,2076798
27,27,Meta,2000,697478
28,28,Norte de Santander,2000,1189505
29,29,Santander,2000,1905077
30,30,Valle del cauca,2000,3949031
31,31,Antioquia,2001,5368957
32,32,Bolivar,2001,1810899
33,33,Boyaca,2001,1239693
34,34,Caldas,2001,961277
35,35,Casanare,2001,270318
36,36,Cundinamarca,2001,2118567
37,37,Meta,2001,714759
38,38,Norte de Santander,2001,1200639
39,39,Santander,2001,1916945
40,40,Valle del cauca,2001,3990355
41,41,Antioquia,2002,5447841
42,42,Bolivar,2002,1828057
43,43,Boyaca,2002,1244292
44,44,Caldas,2002,962996
45,45,Casanare,2002,276648
46,46,Cundinamarca,2002,2159796
47,47,Meta,2002,732007
48,48,Norte de Santander,2002,1211502
49,49,Santander,2002,1927772
50,50,Valle del cauca,2002,4032191
51,51,Antioquia,2003,5526457
52,52,Bolivar,2003,1844798
53,53,Boyaca,2003,1248391
54,54,Caldas,2003,964745
55,55,Casanare,2003,282913
56,56,Cundinamarca,2003,2200405
57,57,Meta,2003,749153
58,58,Norte de Santander,2003,1222289
59,59,Santander,2003,1937920
60,60,Valle del cauca,2003,4074590
61,61,Antioquia,2004,5604712
62,62,Bolivar,2004,1861840
63,63,Boyaca,2004,1252027
64,64,Caldas,2004,966596
65,65,Casanare,2004,289117
66,66,Cundinamarca,2004,2240428
67,67,Meta,2004,766214
68,68,Norte de Santander,2004,1233069
69,69,Santander,2004,1947837
70,70,Valle del cauca,2004,4117760
71,71,Antioquia,2005,5682310
72,72,Bolivar,2005,1879480
73,73,Boyaca,2005,1255314
74,74,Caldas,2005,968586
75,75,Casanare,2005,295276
76,76,Cundinamarca,2005,2280158
77,77,Meta,2005,783285
78,78,Norte de Santander,2005,1243861
79,79,Santander,2005,1957775
80,80,Valle del cauca,2005,4161470
81,81,Antioquia,2006,5757973
82,82,Bolivar,2006,1898031
83,83,Boyaca,2006,1258195
84,84,Caldas,2006,970651
85,85,Casanare,2006,301371
86,86,Cundinamarca,2006,2318959
87,87,Meta,2006,800581
88,88,Norte de Santander,2006,1254386
89,89,Santander,2006,1968351
90,90,Valle del cauca,2006,4205228
91,91,Antioquia,2007,5834865
