"","State","Year","n"
"1","Antioquia",2001,0
"2","Bolivar",2001,0
"3","Boyaca",2001,0
"4","Caldas",2001,0
"5","Casanare",2001,0
"6","Cundinamarca",2001,0
"7","Meta",2001,0
"8","Norte de Santander",2001,0
"9","Santander",2001,4
"10","Valle del cauca",2001,0
"11","Antioquia",2002,2
"12","Bolivar",2002,0
"13","Boyaca",2002,0
"14","Caldas",2002,0
"15","Casanare",2002,0
"16","Cundinamarca",2002,0
"17","Meta",2002,0
"18","Norte de Santander",2002,0
"19","Santander",2002,5
"20","Valle del cauca",2002,0
"21","Antioquia",2003,5
"22","Bolivar",2003,0
"23","Boyaca",2003,0
"24","Caldas",2003,0
"25","Casanare",2003,0
"26","Cundinamarca",2003,0
"27","Meta",2003,0
"28","Norte de Santander",2003,0
"29","Santander",2003,18
"30","Valle del cauca",2003,0
"31","Antioquia",2004,2
"32","Bolivar",2004,0
"33","Boyaca",2004,0
"34","Caldas",2004,0
"35","Casanare",2004,0
"36","Cundinamarca",2004,0
"37","Meta",2004,0
"38","Norte de Santander",2004,0
"39","Santander",2004,5
"40","Valle del cauca",2004,1
"41","Antioquia",2005,2
"42","Bolivar",2005,0
"43","Boyaca",2005,0
"44","Caldas",2005,0
"45","Casanare",2005,0
"46","Cundinamarca",2005,0
"47","Meta",2005,0
"48","Norte de Santander",2005,4
"49","Santander",2005,0
"50","Valle del cauca",2005,1
"51","Antioquia",2006,3
"52","Bolivar",2006,1
"53","Boyaca",2006,0
"54","Caldas",2006,0
"55","Casanare",2006,0
"56","Cundinamarca",2006,0
"57","Meta",2006,0
"58","Norte de Santander",2006,4
"59","Santander",2006,0
"60","Valle del cauca",2006,0
"61","Antioquia",2007,5
"62","Bolivar",2007,0
"63","Boyaca",2007,0
"64","Caldas",2007,0
"65","Casanare",2007,0
"66","Cundinamarca",2007,0
"67","Meta",2007,0
"68","Norte de Santander",2007,0
"69","Santander",2007,7
"70","Valle del cauca",2007,0
"71","Antioquia",2008,0
"72","Bolivar",2008,0
"73","Boyaca",2008,0
"74","Caldas",2008,0
"75","Casanare",2008,0
"76","Cundinamarca",2008,0
"77","Meta",2008,0
"78","Norte de Santander",2008,0
"79","Santander",2008,1
"80","Valle del cauca",2008,0
"81","Antioquia",2009,1
"82","Bolivar",2009,0
"83","Boyaca",2009,0
"84","Caldas",2009,0
"85","Casanare",2009,0
"86","Cundinamarca",2009,0
"87","Meta",2009,0
"88","Norte de Santander",2009,0
"89","Santander",2009,3
"90","Valle del cauca",2009,0
"91","Antioquia",2010,0
"92","Bolivar",2010,0
"93","Boyaca",2010,0
"94","Caldas",2010,0
"95","Casanare",2010,0
"96","Cundinamarca",2010,0
"97","Meta",2010,0
"98","Norte de Santander",2010,0
"99","Santander",2010,11
"100","Valle del cauca",2010,0
"101","Antioquia",2012,0
"102","Bolivar",2012,0
"103","Boyaca",2012,0
"104","Caldas",2012,0
"105","Casanare",2012,9
"106","Cundinamarca",2012,0
"107","Meta",2012,5
"108","Norte de Santander",2012,0
"109","Santander",2012,2
"110","Valle del cauca",2012,0
"111","Antioquia",2013,0
"112","Bolivar",2013,0
"113","Boyaca",2013,0
"114","Caldas",2013,0
"115","Casanare",2013,14
"116","Cundinamarca",2013,1
"117","Meta",2013,6
"118","Norte de Santander",2013,0
"119","Santander",2013,13
"120","Valle del cauca",2013,0
"121","Antioquia",2014,0
"122","Bolivar",2014,0
"123","Boyaca",2014,0
"124","Caldas",2014,0
"125","Casanare",2014,0
"126","Cundinamarca",2014,0
"127","Meta",2014,0
"128","Norte de Santander",2014,0
"129","Santander",2014,4
"130","Valle del cauca",2014,1
"131","Antioquia",2015,1
"132","Bolivar",2015,1
"133","Boyaca",2015,1
"134","Caldas",2015,0
"135","Casanare",2015,0
"136","Cundinamarca",2015,0
"137","Meta",2015,1
"138","Norte de Santander",2015,0
"139","Santander",2015,5
"140","Valle del cauca",2015,1
"141","Antioquia",2016,0
"142","Bolivar",2016,0
"143","Boyaca",2016,0
"144","Caldas",2016,1
"145","Casanare",2016,0
"146","Cundinamarca",2016,0
"147","Meta",2016,0
"148","Norte de Santander",2016,0
"149","Santander",2016,4
"150","Valle del cauca",2016,0
"151","Antioquia",2017,0
"152","Bolivar",2017,0
"153","Boyaca",2017,0
"154","Caldas",2017,0
"155","Casanare",2017,0
"156","Cundinamarca",2017,0
"157","Meta",2017,0
"158","Norte de Santander",2017,0
"159","Santander",2017,1
"160","Valle del cauca",2017,0
